;ASOCAÑA;PROCAÑA;CIAMSA;TECNICAÑA;TERPEL;FEDEPETROLEO;MINMINAS;MINCIENCIAS;DNP;MADR;FEPALMA;FEDEBIOCOMBUSTIBLES;ICA;BANCO AGRARIO;FINAGRO;BANCOLDEX
ASOCAÑA;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1
PROCAÑA;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;1
CIAMSA;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0
TECNICAÑA;1;1;1;0;0;0;1;1;1;1;1;1;0;0;0;0
TERPEL;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0
FEDEPETROLEO;1;1;0;0;1;0;1;1;1;1;1;1;0;1;0;1
MINMINAS;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;1
MINCIENCIAS;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1
DNP;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0
MADR;0;0;1;1;1;1;1;1;1;0;1;0;0;1;0;0
FEPALMA;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0
FEDEBIOCOMBUSTIBLES;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1
ICA;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1
BANCO AGRARIO;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1
FINAGRO;1;1;0;0;0;0;0;1;0;0;0;1;1;1;0;1
BANCOLDEX;1;1;0;0;0;1;1;1;0;0;0;1;1;1;1;0
