,UNIVALLE,CIAT,CENICAÑA,UAO,UNAL,UIS,UCESAR,ITM,UPB,UPAMPLONA,ULIBRE,UDEA,SENA,BIOPACIFICO,CORPOICA-AGROSAVIA,BIOTEC,ALEXANDER VON HUMBOLT,CORPOGEN,CENIPALMA,INCAUCA,RIOPAILA,MAYAGUEZ,PROVIDENCIA,RISARALDA,GPC,PROGEN,BIOENERGY,ASOCAÑA,PROCAÑA,CIAMSA,TECNICAÑA,TERPEL,FEDEPETROLEO,MINMINAS,MINCIENCIAS,DNP,MADR,FEPALMA,FEDEBIOCOMBUSTIBLES,ICA,BANCO AGRARIO,FINAGRO,BANCOLDEX
UNIVALLE,0,0.054425605772144676,0.0535701080392137,0.016867526777015213,0.023192688539375381,0.0081117679451209873,0,0,0.019384754998930182,0,0.042734843677438072,0,0.025887594572210515,0.0029444577895788677,0.021445443169575595,0.013865032892319967,0.0017921266479911315,0.0036059294278931917,0.0030682215104896903,0.038033220742950236,0.044910847629271243,0.045997451145064532,0.047442060452419069,0,0,0.018335909906465612,0.0086564770603357946,0.051270345039914747,0.051482211748592591,0,0.030837444178581641,0.026377754845422288,0.051627651601414346,0,0.051520669401982966,0.051621358530859557,0,0,0,0.036523583039862896,0.051315794993921547,0.051560525515496614,0.051590592408147264,1
CIAT,0.0096099194543583198,0,0.00015105508133931566,0.025050181010072045,0.0055147905966931683,0.017035300804432316,0,0,0,0,0,0,0.033307005371416287,0.012305228554018829,0.0058233013984116148,0.022301746606381179,0.011250403240259508,0.012910729007184076,0.012418519865023323,0.044424915383551894,0.050720583943100882,0.051715243249886071,0.053037615275509112,0,0.052105682231313975,0.02639431520843041,0,0.05654196514980056,0.056735904512706548,0,0,0,0.056869037804734429,0,0.056771108027425458,0.056863277229598608,0,0,0.05687287818815831,0.043043017414858699,0.056583569303559268,0.056807591669952327,0.056835114417823476,0.99999999999999989
CENICAÑA,0.0065687356983982221,0.027027027027027029,0,0.017291269955568359,0.0037248616289468858,0.011725313235082331,0,0,0,0,0.033734889418726009,0,0.023025245494162017,0.0084405008916554215,0.0039391078467455034,0.015382611741403927,0.0077079744042443891,0.0088609924311522908,0.0085191763699756628,0.030746110231012543,0.035118155455633258,0.035808899485631283,0.03672722456026186,0.03519105250899212,0.036080040964588035,0.01822470783394407,0.0055072834824166977,0.039160830457455685,0.039295512208478461,0.039381744088671268,0.026171820132743759,0.023336835947848387,0.039387967007860444,0.039367520273381737,0.039319959391007353,0.03938396655981026,0.03937818813484889,0.039387967007860444,0.039390633973227229,0.029786447193196751,0.039189722582262547,0.03934529556199183,0.039364408813787145,0.99999999999999989
UAO,0.038812771510806796,0.062969590789638319,0.062589877898349924,0,0.049106852351752862,0,0,0,0,0,0,0,0.012953371940322863,0,0,0.0069088438779341087,0.034689025153297449,0.030515401254983279,0.031752686057528998,0.030395237878571551,0.040271932948727808,0.041832362405724841,0.043906910190895931,0,0.042444886195150966,0.0021086884554013981,0.042654951105708203,0.049404562235335278,0.049708815855328915,0,0,0,0.049917676426149617,0,0.049764043410113229,0.049908639189912188,0,0,0,0.028227305318946978,0.049469831163716754,0.049821279239616982,0.049864457146084729,1
UNAL,0.0028824478478773974,0.024140133812998003,0.02347891380604961,0.013750420563467645,0,0.0081089682422546532,0.026129898832297757,0.027213407284024101,0.015372304316571526,0.027798186481670997,0.030417078219669016,0.0056108167392099262,0.019562170678756551,0.0047796013157441848,0.00021715221361002157,0.011815873664626516,0.0040371389754344112,0.0052057963241987047,0.0048593439336051276,0.027387759787482771,0.031819106619574371,0.03251921977299755,0.033450000837973268,0.03189299243499355,0.032794038964495703,0.014696519419444909,0.0018065982916518229,0.035916615712485424,0.036053124261704997,0.036140525775066712,0.02275142486992943,0.019877987487347055,0.036146833100773226,0.036126109030594676,0.036077903041266311,0.036142778391390469,0.036136921588948705,0.036146833100773226,0.036149536240361733,0.026415080058885192,0.035945899724694245,0.036103582867357119,0.036122955367741419,1
UIS,0.034624254757973025,0.079434922884531634,0.078730559112194648,0,0.053719676009719546,0,0.033649056117687572,0,0,0.036764117487782501,0,0.016549564057664019,0,0.022056136769366502,0,0.0069216108434083275,0,0.019232712495507131,0,0,0,0,0,0,0.046092477070008443,0,0,0,0,0.052341106791063026,0.027340699322024094,0.021975357324058812,0.052352883960704213,0.052314187546168879,0.052224176321054062,0.052345312923077737,0.052334376979839489,0.052352883960704213,0.052357931319121864,0,0.051977696984992001,0,0.052308298961348282,1
UCESAR,0,0,0,0,0.10395917150793585,0.071697216509205922,0,0,0,0.011513921594640304,0,0.081636243147794593,0,0.084943277259281733,0,0.056949099073262274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069089748267055814,0.013441435665063381,0.024873556837456266,0.069133279161553499,0,0.068657548671685831,0.069105295015090704,0,0.069133279161553499,0.069151935259195371,0,0.067746509236841224,0,0.068968483632383656,1
ITM,0,0,0,0,0.16316938237455161,0,0,0,0.0709982927778018,0,0,0.12952738038639408,0,0,0,0.092322362449755821,0,0,0,0,0,0,0,0,0.067697402938090234,0,0,0,0,0,0,0.04398258201149674,0.10836940363763552,0,0.10753322840153898,0.10832021685904161,0,0,0,0,0,0,0.10807974816369358,1
UPB,0.054850542510505952,0,0,0,0.067509120982612775,0,0,0.030960893833689711,0,0,0,0.042868618279952829,0,0.046518989846229347,0,0.015618446148610696,0,0.04464730881549895,0.046168791598407685,0,0.043003401068853503,0,0,0.043196590072723876,0.045552553534557748,0,0,0,0,0.054302601831808711,0.019294162770688419,0.011780995290900232,0.054319093576041547,0.054264906416419366,0.054138862371211259,0.054308491740463295,0,0.054319093576041547,0.054326161466427048,0,0.053793713724052603,0,0.054256660544302948,1
UPAMPLONA,0,0,0,0,0.13001664664854501,0.092089681185072797,0.0078028531091303673,0,0,0,0,0.10377394272710032,0,0,0,0,0,0.10566828918810714,0,0,0,0,0,0.04033209971866486,0.049207025391162354,0,0,0,0,0,0.023604526202667678,0.037044060939376698,0.082230623818525514,0,0.081551692004579457,0.082190686652999292,0,0.082230623818525514,0.082257248595543009,0,0,0,0,1.0000000000000002
ULIBRE,0.11066879475187284,0,0.1374283452671661,0,0.12225409751252019,0,0,0,0,0,0,0,0,0,0.12138130665121476,0,0,0,0.10272313852903438,0,0,0,0,0,0,0.063184988204130627,0,0,0,0,0,0.042359329084061086,0.10159499400878709,0,0.10037278657968311,0,0,0,0,0,0.098032219411529745,0,0,0.99999999999999989
UDEA,0,0,0,0,0.091301415389427557,0.0045957697286469409,0.037748301585432804,0.039741597563322052,0.017957897693524481,0.040817397222074753,0,0,0,0.013525864091335668,0,0.011415245531587785,0.025607503127932422,0,0,0,0,0,0,0.04835048127323293,0.050008107866072224,0,0,0,0,0.056164533031877358,0.031533030675581872,0.026246859471017372,0.056176136418027232,0.056138011006391923,0.056049327983675026,0.056168677098359453,0.056157902525506002,0.056176136418027232,0.056181109297805752,0,0.055806485687824071,0,0.056132209313316993,0.99999999999999989
SENA,0.036520228819095883,0.051330339169145998,0.051097544041757439,0.01272481840386616,0.042831344179400974,0,0,0,0,0,0,0,0,0.032366414067260194,0.042355889724310779,0.016960506018300372,0.033992034278854867,0.031433260717643338,0.032191817721718766,0.01880265143555751,0.029449909899584206,0.031132081478792973,0.03336848204677581,0,0,0.010653336338120503,0.038875799853858084,0.039295051799779684,0.039623042783370588,0,0,0.00075881742408323799,0.039848198310060048,0.039798404299349874,0.039682579100524057,0.039838456003616754,0,0.039848198310060048,0.039854693181022242,0.016465580367660642,0.039365412901870143,0.03974428037466491,0.039790826949893984,1
BIOPACIFICO,0.012141084867736024,0.055429198903401818,0.054748767645081797,0,0.030587691608124329,0.0045643346781646553,0.029269799783250724,0,0.014521872388769593,0,0,0.0011395395779720996,0.020265893025702104,0,0.029197997258504565,0.009646248850280854,0.0047514860750484207,0.00058428424973528694,0.00010932168309000889,0.030994241247585728,0.037069315116926391,0.038029122436258986,0.039305159708936686,0.037170607523857244,0.038405880779111549,0.013595417447328865,0.019026126583279516,0.042686720245195334,0.042873864143366358,0,0,0.020698856301668737,0.043002332561912812,0.042973921277041964,0.042907834157885863,0.042996773832264169,0,0,0.043006038381678574,0.029660763768538708,0.042726866625991101,0.042943039445660601,0.042969597820648568,1.0000000000000002
CORPOICA-AGROSAVIA,0.0035137184840941804,0.047741655617786857,0.046503248195738353,0,0.0025292897348618924,0,0,0,0,0,0.039813233797208449,0,0.025502967881764711,0.0060147780744458689,0,0.015290852328094096,0.0050359734663006379,0.0065766404283933164,0.0061199045402478783,0.035819615966402291,0.041661559003851635,0.042584533737503157,0.043811603106694935,0,0,0.019088471663337197,0.002095402098019652,0.047063396328536657,0.047243358583553649,0.047358581941551334,0.029707432579009929,0.02591931620112746,0.047366897029241885,0.047339576026830067,0.047276024999480831,0,0,0.047366897029241885,0.047370460638252121,0.034537310657551827,0.047102002092814239,0.047309879285078085,0.047335418482984788,0.99999999999999989
